	R	jQuery()										
htmlPrefilter	R	jQuery.htmlPrefilter()										
htmlPrefilter()	R	jQuery.htmlPrefilter()										
htmlprefilter	R	jQuery.htmlPrefilter()										
id selector	R	ID Selector										
image selector	R	:image Selector										
in array	R	jQuery.inArray()										
inArray	R	jQuery.inArray()										
inArray()	R	jQuery.inArray()										
inarray	R	jQuery.inArray()										
index	R	.index()										
index()	R	.index()										
inner height	R	.innerHeight()										
inner width	R	.innerWidth()										
innerHeight	R	.innerHeight()										
innerHeight()	R	.innerHeight()										
innerWidth	R	.innerWidth()										
innerWidth()	R	.innerWidth()										
innerheight	R	.innerHeight()										
innerwidth	R	.innerWidth()										
input selector	R	:input Selector										
insert after	R	.insertAfter()										
insert before	R	.insertBefore()										
insertAfter	R	.insertAfter()										
insertAfter()	R	.insertAfter()										
insertBefore	R	.insertBefore()										
insertBefore()	R	.insertBefore()										
insertafter	R	.insertAfter()										
insertbefore	R	.insertBefore()										
is	R	.is()										
is array	R	jQuery.isArray()										
is default prevented	R	event.isDefaultPrevented()										
is empty object	R	jQuery.isEmptyObject()										
is function	R	jQuery.isFunction()										
is immediate propagation stopped	R	event.isImmediatePropagationStopped()										
is numeric	R	jQuery.isNumeric()										
is plain object	R	jQuery.isPlainObject()										
is propagation stopped	R	event.isPropagationStopped()										
is rejected	R	deferred.isRejected()										
is resolved	R	deferred.isResolved()										
is window	R	jQuery.isWindow()										
is xmldoc	R	jQuery.isXMLDoc()										
is()	R	.is()										
isArray	R	jQuery.isArray()										
isArray()	R	jQuery.isArray()										
isDefaultPrevented	R	event.isDefaultPrevented()										
isDefaultPrevented()	R	event.isDefaultPrevented()										
isEmptyObject	R	jQuery.isEmptyObject()										
isEmptyObject()	R	jQuery.isEmptyObject()										
isFunction	R	jQuery.isFunction()										
isFunction()	R	jQuery.isFunction()										
isImmediatePropagationStopped	R	event.isImmediatePropagationStopped()										
isImmediatePropagationStopped()	R	event.isImmediatePropagationStopped()										
isNumeric	R	jQuery.isNumeric()										
isNumeric()	R	jQuery.isNumeric()										
isPlainObject	R	jQuery.isPlainObject()										
isPlainObject()	R	jQuery.isPlainObject()										
isPropagationStopped	R	event.isPropagationStopped()										
isPropagationStopped()	R	event.isPropagationStopped()										
isRejected	R	deferred.isRejected()										
isRejected()	R	deferred.isRejected()										
isResolved	R	deferred.isResolved()										
isResolved()	R	deferred.isResolved()										
isWindow	R	jQuery.isWindow()										
isWindow()	R	jQuery.isWindow()										
isXMLDoc	R	jQuery.isXMLDoc()										
isXMLDoc()	R	jQuery.isXMLDoc()										
isarray	R	jQuery.isArray()										
isdefaultprevented	R	event.isDefaultPrevented()										
isemptyobject	R	jQuery.isEmptyObject()										
isfunction	R	jQuery.isFunction()										
isimmediatepropagationstopped	R	event.isImmediatePropagationStopped()										
isnumeric	R	jQuery.isNumeric()										
isplainobject	R	jQuery.isPlainObject()										
ispropagationstopped	R	event.isPropagationStopped()										
isrejected	R	deferred.isRejected()										
isresolved	R	deferred.isResolved()										
iswindow	R	jQuery.isWindow()										
isxmldoc	R	jQuery.isXMLDoc()										
jQuery	R	jQuery()										
jQuery()	A			jQuery Core							<section class="prog__container"><p>Accepts a string containing a CSS selector which is then used to match a set of elements.</p><pre><code>$(selector).jQuery(selector,context) → jQuery\n$(selector).jQuery(element) → jQuery\n$(selector).jQuery(elementArray) → jQuery\n$(selector).jQuery(object) → jQuery\n$(selector).jQuery(selection) → jQuery\n$(selector).jQuery() → jQuery</code></pre><p>Arguments</p><pre><code>selector (Selector) : A string containing a selector expression\ncontext (Element| jQuery) : A DOM Element, Document, or jQuery to use as context\nelement (Element) : A DOM element to wrap in a jQuery object.\nelementArray (Array) : An array containing a set of DOM elements to wrap in a jQuery object.\nobject (PlainObject) : A plain object to wrap in a jQuery object.\nselection (jQuery) : An existing jQuery object to clone.</code></pre>\n<p>Creates DOM elements on the fly from the provided string of raw HTML.</p><pre><code>$(selector).jQuery(html,ownerDocument) → jQuery\n$(selector).jQuery(html,attributes) → jQuery</code></pre><p>Arguments</p><pre><code>html (htmlString) : A string of HTML to create on the fly. Note that this parses HTML, not XML.\nownerDocument (document) : A document in which the new elements will be created.\nhtml (htmlString) : A string defining a single, standalone, HTML element (e.g. <div/> or <div></div>).\nattributes (PlainObject) : An object of attributes, events, and methods to call on the newly-created element.</code></pre>\n<p>Binds a function to be executed when the DOM has finished loading.</p><pre><code>$(selector).jQuery(callback) → jQuery</code></pre><p>Arguments</p><pre><code>callback (Function) : The function to execute when the DOM is ready.</code></pre></section>	https://api.jquery.com/jQuery/
jQuery.Callbacks	R	jQuery.Callbacks()										
jQuery.Callbacks()	A			jQuery Callbacks Object							<section class="prog__container"><p>A multi-purpose callbacks list object that provides a powerful way to manage callback lists.</p><pre><code>jQuery.Callbacks(flags) → Callbacks</code></pre><p>Arguments</p><pre><code>flags (String) : An optional list of space-separated flags that change how the callback list behaves.</code></pre></section>	https://api.jquery.com/jQuery.Callbacks/
jQuery.Deferred	R	jQuery.Deferred()										
jQuery.Deferred()	A			jQuery Deferred Object							<section class="prog__container"><p> A factory function that returns a chainable utility object with methods to register multiple callbacks into callback queues, invoke callback queues, and relay the success or failure state of any synchronous or asynchronous function.</p><pre><code>jQuery.Deferred(beforeStart) → Deferred</code></pre><p>Arguments</p><pre><code>beforeStart (Function) : A function that is called just before the constructor returns.</code></pre></section>	https://api.jquery.com/jQuery.Deferred/
jQuery.ajax	R	jQuery.ajax()										
jQuery.ajax()	A			jQuery Ajax\njQuery Low Level Interface							<section class="prog__container"><p>Perform an asynchronous HTTP (Ajax) request.</p><pre><code>jQuery.ajax(url,settings) → jqXHR\njQuery.ajax(settings) → jqXHR</code></pre><p>Arguments</p><pre><code>url (String) : A string containing the URL to which the request is sent.\nsettings (PlainObject) : A set of key/value pairs that configure the Ajax request. All settings are optional. A default can be set for any option with $.ajaxSetup(). See jQuery.ajax( settings ) below for a complete list of all settings.\nsettings (PlainObject) : A set of key/value pairs that configure the Ajax request. All settings are optional. A default can be set for any option with $.ajaxSetup().</code></pre></section>	https://api.jquery.com/jQuery.ajax/
jQuery.ajaxPrefilter	R	jQuery.ajaxPrefilter()										
jQuery.ajaxPrefilter()	A			jQuery Ajax\njQuery Low Level Interface							<section class="prog__container"><p>Handle custom Ajax options or modify existing options before each request is sent and before they are processed by $.ajax().</p><pre><code>jQuery.ajaxPrefilter(dataTypes,handler) → undefined</code></pre><p>Arguments</p><pre><code>dataTypes (String) : An optional string containing one or more space-separated dataTypes\nhandler (Function) : A handler to set default values for future Ajax requests.</code></pre></section>	https://api.jquery.com/jQuery.ajaxPrefilter/
jQuery.ajaxSetup	R	jQuery.ajaxSetup()										
jQuery.ajaxSetup()	A			jQuery Ajax\njQuery Low Level Interface							<section class="prog__container"><p>Set default values for future Ajax requests. Its use is not recommended.</p><pre><code>jQuery.ajaxSetup(options) → undefined</code></pre><p>Arguments</p><pre><code>options (PlainObject) : A set of key/value pairs that configure the default Ajax request. All options are optional.</code></pre></section>	https://api.jquery.com/jQuery.ajaxSetup/
jQuery.ajaxTransport	R	jQuery.ajaxTransport()										
jQuery.ajaxTransport()	A			jQuery Ajax\njQuery Low Level Interface							<section class="prog__container"><p>Creates an object that handles the actual transmission of Ajax data.</p><pre><code>jQuery.ajaxTransport(dataType,handler) → undefined</code></pre><p>Arguments</p><pre><code>dataType (String) : A string identifying the data type to use\nhandler (Function) : A handler to return the new transport object to use with the data type provided in the first argument.</code></pre></section>	https://api.jquery.com/jQuery.ajaxTransport/
jQuery.boxModel	A			jQuery Utilities							<section class="prog__container"><p>States if the current page, in the user's browser, is being rendered using the W3C CSS Box Model. This property was removed in jQuery 1.8. Please try to use feature detection instead.</p><pre><code>jQuery.boxModel() → Boolean</code></pre></section>	https://api.jquery.com/jQuery.boxModel/
jQuery.browser	A			jQuery Properties\njQuery Global Jquery Object Properties\njQuery Utilities							<section class="prog__container"><p>Contains flags for the useragent, read from navigator.userAgent. This property was removed in jQuery 1.9 and is available only through the jQuery.migrate plugin. Please try to use feature detection instead.</p><pre><code>jQuery.browser() → PlainObject</code></pre>\n<p>The version number of the rendering engine for the user's browser. This property was removed in jQuery 1.9 and is available only through the jQuery.migrate plugin.</p><pre><code>jQuery.browser.version() → String</code></pre></section>	https://api.jquery.com/jQuery.browser/
jQuery.contains	R	jQuery.contains()										
jQuery.contains()	A			jQuery Utilities							<section class="prog__container"><p>Check to see if a DOM element is a descendant of another DOM element.</p><pre><code>jQuery.contains(container,contained) → Boolean</code></pre><p>Arguments</p><pre><code>container (Element) : The DOM element that may contain the other element.\ncontained (Element) : The DOM element that may be contained by (a descendant of) the other element.</code></pre></section>	https://api.jquery.com/jQuery.contains/
jQuery.cssHooks	A			jQuery Css							<section class="prog__container"><p>Hook directly into jQuery to override how particular CSS properties are retrieved or set, normalize CSS property naming, or create custom properties.</p><pre><code>jQuery.cssHooks() → Object</code></pre></section>	https://api.jquery.com/jQuery.cssHooks/
jQuery.cssNumber	A			jQuery Css\njQuery Manipulation\njQuery Style Properties							<section class="prog__container"><p>An object containing all CSS properties that may be used without a unit. The .css() method uses this object to see if it may append px to unitless values.</p><pre><code>jQuery.cssNumber() → Object</code></pre></section>	https://api.jquery.com/jQuery.cssNumber/
jQuery.data	R	jQuery.data()										
jQuery.data()	A			jQuery Data\njQuery Utilities							<section class="prog__container"><p>Store arbitrary data associated with the specified element. Returns the value that was set.</p><pre><code>jQuery.data(element,key,value) → Object</code></pre><p>Arguments</p><pre><code>element (Element) : The DOM element to associate with the data.\nkey (String) : A string naming the piece of data to set.\nvalue (Anything) : The new data value; this can be any Javascript type except undefined.</code></pre>\n<p>Returns value at named data store for the element, as set by jQuery.data(element, name, value), or the full data store for the element.</p><pre><code>jQuery.data(element,key) → Object\njQuery.data(element) → Object</code></pre><p>Arguments</p><pre><code>element (Element) : The DOM element to query for the data.\nkey (String) : Name of the data stored.</code></pre></section>	https://api.jquery.com/jQuery.data/
jQuery.dequeue	R	jQuery.dequeue()										
jQuery.dequeue()	A			jQuery Data\njQuery Utilities							<section class="prog__container"><p>Execute the next function on the queue for the matched element.</p><pre><code>jQuery.dequeue(element,queueName) → undefined</code></pre><p>Arguments</p><pre><code>element (Element) : A DOM element from which to remove and execute a queued function.\nqueueName (String) : A string containing the name of the queue. Defaults to fx, the standard effects queue.</code></pre></section>	https://api.jquery.com/jQuery.dequeue/
jQuery.each	R	jQuery.each()										
jQuery.each()	A			jQuery Utilities							<section class="prog__container"><p>A generic iterator function, which can be used to seamlessly iterate over both objects and arrays. Arrays and array-like objects with a length property (such as a function's arguments object) are iterated by numeric index, from 0 to length-1. Other objects are iterated via their named properties.</p><pre><code>jQuery.each(array,callback) → Object\njQuery.each(object,callback) → Object</code></pre><p>Arguments</p><pre><code>array (Array) : The array to iterate over.\ncallback (Function) : The function that will be executed on every object.\nobject (Object) : The object to iterate over.</code></pre></section>	https://api.jquery.com/jQuery.each/
jQuery.error	R	jQuery.error()										
jQuery.error()	A			jQuery Internals							<section class="prog__container"><p>Takes a string and throws an exception containing it.</p><pre><code>jQuery.error(message) → undefined</code></pre><p>Arguments</p><pre><code>message (String) : The message to send out.</code></pre></section>	https://api.jquery.com/jQuery.error/
jQuery.escapeSelector	R	jQuery.escapeSelector()										
jQuery.escapeSelector()	A			jQuery Css							<section class="prog__container"><p>Escapes any character that has a special meaning in a CSS selector.</p><pre><code>jQuery.escapeSelector(selector) → Selector</code></pre><p>Arguments</p><pre><code>selector (Selector) : A string containing a selector expression to escape.</code></pre></section>	https://api.jquery.com/jQuery.escapeSelector/
jQuery.extend	R	jQuery.extend()										
jQuery.extend()	A			jQuery Utilities							<section class="prog__container"><p>Merge the contents of two or more objects together into the first object.</p><pre><code>jQuery.extend(target,object1,objectN) → Object\njQuery.extend(deep,target,object1,objectN) → Object</code></pre><p>Arguments</p><pre><code>target (Object) : An object that will receive the new properties if additional objects are passed in or that will extend the jQuery namespace if it is the sole argument.\nobject1 (Object) : An object containing additional properties to merge in.\nobjectN (Object) : Additional objects containing properties to merge in.\ndeep (Boolean) : If true, the merge becomes recursive (aka. deep copy).\ntarget (Object) : The object to extend. It will receive the new properties.</code></pre></section>	https://api.jquery.com/jQuery.extend/
jQuery.fn.extend	R	jQuery.fn.extend()										
jQuery.fn.extend()	A			jQuery Utilities							<section class="prog__container"><p>Merge the contents of an object onto the jQuery prototype to provide new jQuery instance methods.</p><pre><code>jQuery.fn.extend(object) → Object</code></pre><p>Arguments</p><pre><code>object (Object) : An object to merge onto the jQuery prototype.</code></pre></section>	https://api.jquery.com/jQuery.fn.extend/
jQuery.fx.interval	A			jQuery Effects\njQuery Custom Effects\njQuery Properties\njQuery Global Jquery Object Properties							<section class="prog__container"><p>The rate (in milliseconds) at which animations fire.</p><pre><code>jQuery.fx.interval() → Number</code></pre></section>	https://api.jquery.com/jQuery.fx.interval/
jQuery.fx.off	A			jQuery Effects\njQuery Custom Effects\njQuery Properties\njQuery Global Jquery Object Properties							<section class="prog__container"><p>Globally disable all animations.</p><pre><code>jQuery.fx.off() → Boolean</code></pre></section>	https://api.jquery.com/jQuery.fx.off/
jQuery.get	R	jQuery.get()										
jQuery.get()	A			jQuery Ajax\njQuery Shorthand Methods							<section class="prog__container"><p>Load data from the server using a HTTP GET request.</p><pre><code>jQuery.get(url,data,success,dataType) → jqXHR\njQuery.get(settings) → jqXHR</code></pre><p>Arguments</p><pre><code>url (String) : A string containing the URL to which the request is sent.\ndata (PlainObject| String) : A plain object or string that is sent to the server with the request.\nsuccess (Function) : A callback function that is executed if the request succeeds. Required if dataType is provided, but you can use null or jQuery.noop as a placeholder.\ndataType (String) : The type of data expected from the server. Default: Intelligent Guess (xml, json, script, text, html).\nsettings (PlainObject) : A set of key/value pairs that configure the Ajax request. All properties except for url are optional. A default can be set for any option with $.ajaxSetup(). See jQuery.ajax( settings ) for a complete list of all settings. The type option will automatically be set to GET.</code></pre></section>	https://api.jquery.com/jQuery.get/
jQuery.getJSON	R	jQuery.getJSON()										
jQuery.getJSON()	A			jQuery Ajax\njQuery Shorthand Methods							<section class="prog__container"><p>Load JSON-encoded data from the server using a GET HTTP request.</p><pre><code>jQuery.getJSON(url,data,success) → jqXHR</code></pre><p>Arguments</p><pre><code>url (String) : A string containing the URL to which the request is sent.\ndata (PlainObject| String) : A plain object or string that is sent to the server with the request.\nsuccess (Function) : A callback function that is executed if the request succeeds.</code></pre></section>	https://api.jquery.com/jQuery.getJSON/
jQuery.getScript	R	jQuery.getScript()										
jQuery.getScript()	A			jQuery Ajax\njQuery Shorthand Methods							<section class="prog__container"><p>Load a JavaScript file from the server using a GET HTTP request, then execute it.</p><pre><code>jQuery.getScript(url,success) → jqXHR</code></pre><p>Arguments</p><pre><code>url (String) : A string containing the URL to which the request is sent.\nsuccess (Function) : A callback function that is executed if the request succeeds.</code></pre></section>	https://api.jquery.com/jQuery.getScript/
jQuery.globalEval	R	jQuery.globalEval()										
jQuery.globalEval()	A			jQuery Utilities							<section class="prog__container"><p>Execute some JavaScript code globally.</p><pre><code>jQuery.globalEval(code) → undefined</code></pre><p>Arguments</p><pre><code>code (String) : The JavaScript code to execute.</code></pre></section>	https://api.jquery.com/jQuery.globalEval/
jQuery.grep	R	jQuery.grep()										
jQuery.grep()	A			jQuery Utilities							<section class="prog__container"><p>Finds the elements of an array which satisfy a filter function. The original array is not affected.</p><pre><code>jQuery.grep(array,function,invert) → Array</code></pre><p>Arguments</p><pre><code>array (ArrayLikeObject) : The array-like object to search through.\nfunction (Function) : The function to process each item against.  The first argument to the function is the item, and the second argument is the index.  The function should return a Boolean value.  this will be the global window object.\ninvert (Boolean) : If "invert" is false, or not provided, then the function returns an array consisting of all elements for which "callback" returns true.  If "invert" is true, then the function returns an array consisting of all elements for which "callback" returns false.</code></pre></section>	https://api.jquery.com/jQuery.grep/
jQuery.hasData	R	jQuery.hasData()										
jQuery.hasData()	A			jQuery Data							<section class="prog__container"><p>Determine whether an element has any jQuery data associated with it.</p><pre><code>jQuery.hasData(element) → Boolean</code></pre><p>Arguments</p><pre><code>element (Element) : A DOM element to be checked for data.</code></pre></section>	https://api.jquery.com/jQuery.hasData/
jQuery.holdReady	R	jQuery.holdReady()										
jQuery.holdReady()	A			jQuery Core							<section class="prog__container"><p>Holds or releases the execution of jQuery's ready event.</p><pre><code>jQuery.holdReady(hold) → undefined</code></pre><p>Arguments</p><pre><code>hold (Boolean) : Indicates whether the ready hold is being requested or released</code></pre></section>	https://api.jquery.com/jQuery.holdReady/
jQuery.htmlPrefilter	R	jQuery.htmlPrefilter()										
jQuery.htmlPrefilter()	A			jQuery Manipulation							<section class="prog__container"><p>Modify and filter HTML strings passed through jQuery manipulation methods.</p><pre><code>jQuery.htmlPrefilter(html) → String</code></pre><p>Arguments</p><pre><code>html (String) : The HTML string on which to operate.</code></pre></section>	https://api.jquery.com/jQuery.htmlPrefilter/
jQuery.inArray	R	jQuery.inArray()										
jQuery.inArray()	A			jQuery Utilities							<section class="prog__container"><p>Search for a specified value within an array and return its index (or -1 if not found).</p><pre><code>jQuery.inArray(value,array,fromIndex) → Number</code></pre><p>Arguments</p><pre><code>value (Anything) : The value to search for.\narray (Array) : An array through which to search.\nfromIndex (Number) : The index of the array at which to begin the search. The default is 0, which will search the whole array.</code></pre></section>	https://api.jquery.com/jQuery.inArray/
jQuery.isArray	R	jQuery.isArray()										
jQuery.isArray()	A			jQuery Utilities							<section class="prog__container"><p>Determine whether the argument is an array.</p><pre><code>jQuery.isArray(obj) → boolean</code></pre><p>Arguments</p><pre><code>obj (Object) : Object to test whether or not it is an array.</code></pre></section>	https://api.jquery.com/jQuery.isArray/
jQuery.isEmptyObject	R	jQuery.isEmptyObject()										
jQuery.isEmptyObject()	A			jQuery Utilities							<section class="prog__container"><p>Check to see if an object is empty (contains no enumerable properties).</p><pre><code>jQuery.isEmptyObject(object) → Boolean</code></pre><p>Arguments</p><pre><code>object (Object) : The object that will be checked to see if it's empty.</code></pre></section>	https://api.jquery.com/jQuery.isEmptyObject/
jQuery.isFunction	R	jQuery.isFunction()										
jQuery.isFunction()	A			jQuery Utilities							<section class="prog__container"><p>Determine if the argument passed is a JavaScript function object. </p><pre><code>jQuery.isFunction(obj) → boolean</code></pre><p>Arguments</p><pre><code>obj (PlainObject) : Object to test whether or not it is a function.</code></pre></section>	https://api.jquery.com/jQuery.isFunction/
jQuery.isNumeric	R	jQuery.isNumeric()										
jQuery.isNumeric()	A			jQuery Utilities							<section class="prog__container"><p>Determines whether its argument represents a JavaScript number.</p><pre><code>jQuery.isNumeric(value) → Boolean</code></pre><p>Arguments</p><pre><code>value (Anything) : The value to be tested.</code></pre></section>	https://api.jquery.com/jQuery.isNumeric/
jQuery.isPlainObject	R	jQuery.isPlainObject()										
jQuery.isPlainObject()	A			jQuery Utilities							<section class="prog__container"><p>Check to see if an object is a plain object (created using "{}" or "new Object").</p><pre><code>jQuery.isPlainObject(object) → Boolean</code></pre><p>Arguments</p><pre><code>object (PlainObject) : The object that will be checked to see if it's a plain object.</code></pre></section>	https://api.jquery.com/jQuery.isPlainObject/
jQuery.isWindow	R	jQuery.isWindow()										
jQuery.isWindow()	A			jQuery Utilities							<section class="prog__container"><p>Determine whether the argument is a window.</p><pre><code>jQuery.isWindow(obj) → boolean</code></pre><p>Arguments</p><pre><code>obj (PlainObject) : Object to test whether or not it is a window.</code></pre></section>	https://api.jquery.com/jQuery.isWindow/
jQuery.isXMLDoc	R	jQuery.isXMLDoc()										
jQuery.isXMLDoc()	A			jQuery Utilities							<section class="prog__container"><p>Check to see if a DOM node is within an XML document (or is an XML document).</p><pre><code>jQuery.isXMLDoc(node) → Boolean</code></pre><p>Arguments</p><pre><code>node (Element) : The DOM node that will be checked to see if it's in an XML document.</code></pre></section>	https://api.jquery.com/jQuery.isXMLDoc/
jQuery.makeArray	R	jQuery.makeArray()										
jQuery.makeArray()	A			jQuery Utilities							<section class="prog__container"><p>Convert an array-like object into a true JavaScript array.</p><pre><code>jQuery.makeArray(obj) → Array</code></pre><p>Arguments</p><pre><code>obj (PlainObject) : Any object to turn into a native Array.</code></pre></section>	https://api.jquery.com/jQuery.makeArray/
jQuery.map	R	jQuery.map()										
jQuery.map()	A			jQuery Utilities							<section class="prog__container"><p>Translate all items in an array or object to new array of items.</p><pre><code>jQuery.map(array,callback) → Array\njQuery.map(object,callback) → Array</code></pre><p>Arguments</p><pre><code>array (Array) : The Array to translate.\ncallback (Function) : The function to process each item against.  The first argument to the function is the array item, the second argument is the index in array The function can return any value. A returned array will be flattened into the resulting array. Within the function, this refers to the global (window) object.\nobject (Object) : The Object to translate.\ncallback (Function) : The function to process each item against.  The first argument to the function is the value; the second argument is the key of the object property. The function can return any value to add to the array. A returned array will be flattened into the resulting array. Within the function, this refers to the global (window) object.</code></pre></section>	https://api.jquery.com/jQuery.map/
jQuery.merge	R	jQuery.merge()										
jQuery.merge()	A			jQuery Utilities							<section class="prog__container"><p>Merge the contents of two arrays together into the first array. </p><pre><code>jQuery.merge(first,second) → Array</code></pre><p>Arguments</p><pre><code>first (ArrayLikeObject) : The first array-like object to merge, the elements of second added.\nsecond (ArrayLikeObject) : The second array-like object to merge into the first, unaltered.</code></pre></section>	https://api.jquery.com/jQuery.merge/
jQuery.noConflict	R	jQuery.noConflict()										
jQuery.noConflict()	A			jQuery Core\njQuery Miscellaneous\njQuery Setup Methods							<section class="prog__container"><p>Relinquish jQuery's control of the $ variable.</p><pre><code>jQuery.noConflict(removeAll) → Object</code></pre><p>Arguments</p><pre><code>removeAll (Boolean) : A Boolean indicating whether to remove all jQuery variables from the global scope (including jQuery itself).</code></pre></section>	https://api.jquery.com/jQuery.noConflict/
jQuery.noop	R	jQuery.noop()										
jQuery.noop()	A			jQuery Utilities							<section class="prog__container"><p>An empty function.</p><pre><code>jQuery.noop() → undefined</code></pre></section>	https://api.jquery.com/jQuery.noop/
jQuery.now	R	jQuery.now()										
jQuery.now()	A			jQuery Utilities							<section class="prog__container"><p>Return a number representing the current time.</p><pre><code>jQuery.now() → Number</code></pre></section>	https://api.jquery.com/jQuery.now/
jQuery.param	R	jQuery.param()										
jQuery.param()	A			jQuery Miscellaneous\njQuery Collection Manipulation\njQuery Forms\njQuery Ajax\njQuery Helper Functions							<section class="prog__container"><p>Create a serialized representation of an array, a plain object, or a jQuery object suitable for use in a URL query string or Ajax request. In case a jQuery object is passed, it should contain input elements with name/value properties.</p><pre><code>jQuery.param(obj) → String\njQuery.param(obj,traditional) → String</code></pre><p>Arguments</p><pre><code>obj (Array| PlainObject| jQuery) : An array, a plain object, or a jQuery object to serialize.\ntraditional (Boolean) : A Boolean indicating whether to perform a traditional "shallow" serialization.</code></pre></section>	https://api.jquery.com/jQuery.param/
jQuery.parseHTML	R	jQuery.parseHTML()										
jQuery.parseHTML()	A			jQuery Utilities							<section class="prog__container"><p>Parses a string into an array of DOM nodes.</p><pre><code>jQuery.parseHTML(data,context,keepScripts) → Array</code></pre><p>Arguments</p><pre><code>data (String) : HTML string to be parsed\ncontext (Element) : Document element to serve as the context in which the HTML fragment will be created\nkeepScripts (Boolean) : A Boolean indicating whether to include scripts passed in the HTML string</code></pre></section>	https://api.jquery.com/jQuery.parseHTML/
jQuery.parseJSON	R	jQuery.parseJSON()										
jQuery.parseJSON()	A			jQuery Utilities							<section class="prog__container"><p>Takes a well-formed JSON string and returns the resulting JavaScript value.</p><pre><code>jQuery.parseJSON(json) → String|Number|Object|Array|Boolean</code></pre><p>Arguments</p><pre><code>json (String) : The JSON string to parse.</code></pre></section>	https://api.jquery.com/jQuery.parseJSON/
jQuery.parseXML	R	jQuery.parseXML()										
jQuery.parseXML()	A			jQuery Utilities							<section class="prog__container"><p>Parses a string into an XML document.</p><pre><code>jQuery.parseXML(data) → XMLDocument</code></pre><p>Arguments</p><pre><code>data (String) : a well-formed XML string to be parsed</code></pre></section>	https://api.jquery.com/jQuery.parseXML/
jQuery.post	R	jQuery.post()										
jQuery.post()	A			jQuery Ajax\njQuery Shorthand Methods							<section class="prog__container"><p>Load data from the server using a HTTP POST request.</p><pre><code>jQuery.post(url,data,success,dataType) → jqXHR\njQuery.post(settings) → jqXHR</code></pre><p>Arguments</p><pre><code>url (String) : A string containing the URL to which the request is sent.\ndata (PlainObject| String) : A plain object or string that is sent to the server with the request.\nsuccess (Function) : A callback function that is executed if the request succeeds. Required if dataType is provided, but can be null in that case.\ndataType (String) : The type of data expected from the server. Default: Intelligent Guess (xml, json, script, text, html).\nsettings (PlainObject) : A set of key/value pairs that configure the Ajax request. All properties except for url are optional. A default can be set for any option with $.ajaxSetup(). See jQuery.ajax( settings ) for a complete list of all settings. Type will automatically be set to POST.</code></pre></section>	https://api.jquery.com/jQuery.post/
jQuery.proxy	R	jQuery.proxy()										
jQuery.proxy()	A			jQuery Events\njQuery Event Handler Attachment\njQuery Utilities							<section class="prog__container"><p>Takes a function and returns a new one that will always have a particular context.</p><pre><code>jQuery.proxy(function,context) → Function\njQuery.proxy(context,name) → Function\njQuery.proxy(function,context,additionalArguments) → Function\njQuery.proxy(context,name,additionalArguments) → Function</code></pre><p>Arguments</p><pre><code>function (Function) : The function whose context will be changed.\ncontext (PlainObject) : The object to which the context (this) of the function should be set.\ncontext (PlainObject) : The object to which the context of the function should be set.\nname (String) : The name of the function whose context will be changed (should be a property of the context object).\nadditionalArguments (Anything) : Any number of arguments to be passed to the function referenced in the function argument.\nadditionalArguments (Anything) : Any number of arguments to be passed to the function named in the name argument.</code></pre></section>	https://api.jquery.com/jQuery.proxy/
jQuery.queue	R	jQuery.queue()										
jQuery.queue()	A			jQuery Data\njQuery Utilities							<section class="prog__container"><p>Show the queue of functions to be executed on the matched element.</p><pre><code>jQuery.queue(element,queueName) → Array</code></pre><p>Arguments</p><pre><code>element (Element) : A DOM element to inspect for an attached queue.\nqueueName (String) : A string containing the name of the queue. Defaults to fx, the standard effects queue.</code></pre>\n<p>Manipulate the queue of functions to be executed on the matched element.</p><pre><code>jQuery.queue(element,queueName,newQueue) → jQuery\njQuery.queue(element,queueName,callback) → jQuery</code></pre><p>Arguments</p><pre><code>element (Element) : A DOM element where the array of queued functions is attached.\nqueueName (String) : A string containing the name of the queue. Defaults to fx, the standard effects queue.\nnewQueue (Array) : An array of functions to replace the current queue contents.\nelement (Element) : A DOM element on which to add a queued function.\ncallback (Function) : The new function to add to the queue.</code></pre></section>	https://api.jquery.com/jQuery.queue/
jQuery.readyException	R	jQuery.readyException()										
jQuery.readyException()	A			jQuery Core							<section class="prog__container"><p>Handles errors thrown synchronously in functions wrapped in jQuery().</p><pre><code>jQuery.readyException(error) → Selector</code></pre><p>Arguments</p><pre><code>error (Error) : An error thrown in the function wrapped in jQuery().</code></pre></section>	https://api.jquery.com/jQuery.readyException/
jQuery.removeData	R	jQuery.removeData()										
jQuery.removeData()	A			jQuery Data\njQuery Utilities							<section class="prog__container"><p>Remove a previously-stored piece of data.</p><pre><code>jQuery.removeData(element,name) → jQuery</code></pre><p>Arguments</p><pre><code>element (Element) : A DOM element from which to remove data.\nname (String) : A string naming the piece of data to remove.</code></pre></section>	https://api.jquery.com/jQuery.removeData/
jQuery.speed	A			jQuery Effects\njQuery Custom Effects							<section class="prog__container"><p>Creates an object containing a set of properties ready to be used in the definition of custom animations.</p><pre><code>jQuery.speed(duration,settings) → PlainObject\njQuery.speed(duration,easing,complete) → PlainObject\njQuery.speed(settings) → PlainObject</code></pre><p>Arguments</p><pre><code>settings (PlainObject) : </code></pre></section>	https://api.jquery.com/jQuery.speed/
jQuery.sub	R	jQuery.sub()										
